Row,knn,tree,nb,logreg,svm_rbf,rf
1,-0.6274915386857939,-1.513984851981671,1.1780141530954424,1.4514251755905683,-1.2155459615138395,-1.0020859725096953
2,-1.5837117191081496,-1.513984851981671,-0.17389629502614462,-0.4829379805464807,0.7217638914709777,-1.289890935542242
3,-0.6274915386857939,-1.513984851981671,0.7247853197779851,-0.38537653971774605,2.061250170503721,-0.8978891151540745
4,1.131080447609692,0.8014777175969771,1.1412490571407774,-0.104786242310584,0.7964854402549562,0.39924646280872794
5,-1.1881329771584332,0.8014777175969771,-1.7125271435321636,-1.6163455922444476,-1.6667283910269923,-1.0986481383645386
6,-1.8470952383693298,-1.513984851981671,-0.12464210757393246,-0.6310501466169282,-1.0612120830928808,-1.7045028802715485
7,-0.6274915386857939,-1.513984851981671,-1.4807697797359851,-1.044922068343141,-1.513387855276308,-0.8277112467246835
8,-1.5837117191081496,-1.513984851981671,-1.2422237626562582,-1.1069407034459364,-1.7687689341924748,-1.5906976601518503
9,-0.6274915386857939,-1.513984851981671,-1.1777769970100607,-0.9354460131252794,1.2428235594751462,-0.6650805067834417
10,-0.6274915386857939,-1.513984851981671,1.1780141530954424,1.1457855787513596,0.5744512588245998,-1.2503627789902987
11,-0.6274915386857939,-1.513984851981671,-1.7121817862426092,-1.495774891477584,-1.2746179234344541,-1.3461647415072815
12,-0.6274915386857939,0.8014777175969771,-0.04365704218628204,-0.8731035336672369,-0.6161503368693291,-1.4074117798748975
13,-0.6274915386857939,0.8014777175969771,-1.1489948065798377,-0.8885981600782765,-0.32684924515009633,0.30387705472112664
14,-1.1881329771584332,-1.513984851981671,-1.5656068720055536,-1.1067071300982205,-1.6793807888326142,-1.4074117798748975
15,0.13323750686726296,0.8014777175969771,-1.5216678705541764,-1.1691289090145425,-1.2899568061646827,0.561576318624934
16,-0.6274915386857939,0.8014777175969771,-1.5445017081166934,-1.198449070555076,-1.5430055484896479,-0.3864335217539962
17,-0.6274915386857939,-1.513984851981671,0.11331543558083879,-0.8809035593799945,-0.5340674614655316,-0.6650805067834417
18,-0.6274915386857939,0.8014777175969771,0.9052322524137997,-0.6695431092986476,0.36297108196232153,0.21135918667498704
19,0.13323750686726296,0.8014777175969771,-1.5216529834472716,-1.14983575255264,-1.625967121467297,0.3768500745456808
20,-0.6274915386857939,0.8014777175969771,-1.5605626452321322,-1.266751948592619,-1.7182140006547317,0.3313961066018942
21,-1.1881329771584332,0.8014777175969771,-1.5016164161670653,-1.2091553714179977,-1.657185509032445,0.6438157521135849
22,-0.6274915386857939,0.8014777175969771,-1.0111188703645038,-0.874745729497523,-1.7350100964261554,-0.432648277458553
23,-0.6274915386857939,-0.3891951130267721,-1.5217561951295187,-1.1822643855323158,-1.3067488785408592,0.1818956338715844
24,-0.6274915386857939,-0.3891951130267721,-1.5217561951295187,-1.1822643855323158,-1.3067488785408592,0.1818956338715844
