Row,Best_Algorithm
798,2
799,2
800,2
801,2
802,4
803,2
804,3
805,4
806,5
807,2
808,2
809,2
810,2
811,2
812,3
813,4
814,2
815,4
816,2
817,3
818,2
819,2
820,4
821,2
822,2
823,2
824,2
825,1
826,2
827,1
828,3
829,2
830,2
831,3
832,4
833,2
834,2
835,3
836,1
837,2
838,2
839,2
840,3
841,2
842,3
843,2
844,2
845,3
846,1
847,5
848,6
849,2
850,2
851,2
852,2
853,6
854,2
855,2
856,3
857,6
858,2
859,2
860,3
861,2
862,4
863,1
864,2
865,1
866,2
867,2
868,2
869,2
870,4
871,2
872,4
873,6
874,3
875,2
876,4
877,2
878,2
879,2
880,3
881,2
882,3
883,2
884,3
885,4
886,4
887,2
888,4
889,2
890,2
891,2
892,2
893,4
894,3
895,1
896,2
897,2
898,2
899,2
900,2
901,2
902,2
903,2
904,2
905,3
906,5
907,5
908,2
909,3
910,2
911,2
912,3
913,1
914,2
915,2
916,2
917,1
918,2
919,2
920,3
921,2
922,2
923,1
924,2
925,3
926,2
927,3
928,2
929,3
930,3
931,4
932,3
933,3
934,2
935,5
936,1
937,2
938,3
939,3
940,2
941,2
942,4
943,1
944,1
945,2
946,3
947,2
948,5
949,2
950,3
951,4
952,2
953,2
954,3
955,6
956,2
957,2
958,3
959,3
960,2
961,2
962,2
963,4
964,2
965,3
966,2
967,2
968,2
969,5
970,3
971,3
972,2
973,3
974,2
975,3
976,2
977,1
978,2
979,4
980,1
981,3
982,2
983,2
984,2
985,6
986,2
987,4
988,2
989,2
990,4
991,2
992,1
993,3
994,2
995,2
996,2
997,3
998,2
999,3
1000,2
1001,2
1002,2
1003,3
1004,4
1005,2
1006,4
1007,3
1008,1
1009,2
1010,2
1011,2
1012,2
1013,3
1014,4
1015,2
1016,2
1017,2
1018,2
1019,6
1020,3
1021,3
1022,2
1023,2
1024,2
1025,2
1026,2
1027,3
1028,3
1029,5
1030,4
1031,2
1032,3
1033,2
1034,2
1035,2
1036,2
1037,4
1038,1
1039,6
1040,2
1041,4
1042,3
1043,4
1044,4
1045,1
1046,2
1047,6
1048,2
1049,3
1050,3
1051,1
1052,2
1053,4
1054,1
1055,2
1056,3
1057,3
1058,3
1059,2
1060,2
1061,1
1062,3
1063,3
1064,2
1065,2
1066,6
1067,2
1068,2
1069,2
1070,1
1071,5
1072,6
1073,4
1074,2
1075,2
1076,2
1077,2
1078,1
1079,2
1080,3
1081,2
1082,2
1083,2
1084,2
1085,6
1086,4
1087,6
1088,2
1089,2
1090,3
1091,2
1092,4
1093,6
1094,2
1095,4
1096,3
1097,3
1098,2
1099,2
1100,2
1101,2
1102,4
1103,2
1104,2
1105,2
1106,2
1107,2
1108,2
1109,4
1110,2
1111,4
1112,4
1113,4
1114,2
1115,3
1116,3
1117,2
1118,2
1119,2
1120,2
1121,2
1122,2
1123,2
1124,2
1125,3
1126,2
1127,2
1128,3
1129,3
1130,2
1131,3
1132,2
1133,3
1134,2
1135,2
1136,2
1137,2
1138,2
1139,3
1140,2
1141,3
1142,1
1143,2
1144,3
1145,3
1146,2
1147,2
1148,2
1149,2
1150,2
1151,4
1152,3
1153,2
1154,2
1155,2
1156,5
1157,3
1158,2
1159,2
1160,2
1161,2
1162,2
1163,6
1164,2
1165,3
1166,3
1167,2
1168,2
1169,2
1170,2
1171,5
1172,2
1173,2
1174,4
1175,2
1176,2
1177,2
1178,4
1179,5
1180,3
1181,2
1182,2
1183,2
1184,2
1185,2
1186,4
1187,2
1188,2
1189,2
1190,2
1191,1
1192,5
1193,2
1194,3
1195,2
1196,3
1197,2
1198,4
1199,3
1200,2
1201,2
1202,4
1203,3
1204,2
1205,2
1206,2
1207,2
1208,5
1209,2
1210,2
1211,6
1212,3
