Row,z_1,z_2
0,-1.474289038975719,-1.645587086458481
1,-1.5481306728257287,-1.6187975449612013
2,-1.703445801752428,-1.54353588689797
3,-2.134723572601089,-1.3833901101267039
4,-2.5561318255501106,-1.113115819069268
5,-2.887434882610172,-0.8811979874678882
6,-2.499529576785066,-0.33698004757778166
7,-2.08848732601105,-0.25437390840371293
8,-1.831248798009268,0.08546715250161162
9,-1.6187959953605557,0.6331019922297827
10,-1.578004163848137,0.7515870572541627
11,-0.7401279149821822,1.1794655500437783
12,-0.3549989954531671,1.0761416717616692
13,-0.2436238265070167,1.0289042275602538
14,-0.03807091884903102,0.966154910250416
15,0.19680472449864972,0.8774083603582499
16,0.4183602131789194,0.7918857187576589
17,0.6291995302023504,-1.2720636859922627
18,0.5046199597225873,-2.0370384574082454
19,0.05923708829416952,-2.122653359418561
20,0.0012764046694925296,-2.1177175599459743
21,-0.5159274364233312,-2.0012112894616187
22,-0.8092541567636385,-1.9099914064313492
23,-1.2768913547717096,-1.7125627853699845
24,,
25,-2.9185068282161626,-0.7991288851095912
26,-3.0182419065635546,-0.6440701965681319
27,-3.058030403672337,-0.5894370208166603
28,-2.499529576785066,-0.33698004757778166
29,,
30,1.3379269989009839,0.38980383154328624
31,1.4999791265105837,0.3218866398617328
32,1.7031674630514488,0.26273307838497745
33,2.0007645736773076,0.1148870138448828
34,2.082456672494964,0.06383819981557669
35,2.4318456393535364,-0.30601187864065965
36,1.804309170251893,-0.698594142871417
37,1.475784656080067,-1.217386147593135
38,1.3152559871528555,-1.3158476633521676
39,0.6291995302023504,-1.2720636859922627
40,0.5995310152178371,0.725789641959
41,0.7964689503902637,0.6434715414257047
42,1.105816450082374,0.4911975521347404
43,1.2563463948238864,0.4169093121315337
