Row,Avg_Perf_all_instances,Std_Perf_all_instances,Probability_of_good,Avg_Perf_selected_instances,Std_Perf_selected_instances,CV_model_accuracy,CV_model_precision,CV_model_recall,BoxConstraint,KernelScale
knn,0.511,0.218,0.526,0.612,0.187,73.9,73.5,78.8,0.151,0.655
tree,0.541,0.499,0.541,0.609,0.488,59.5,60.6,71.8,9.606,2.586
nb,0.493,0.491,0.493,0.925,0.245,56.8,56.7,51.9,14.831,0.056
logreg,0.556,0.12,0.696,0.583,0.133,77.7,77.5,95.8,4.009,0.025
svm_rbf,0.499,0.018,0.618,0.5,0.018,62.4,62.3,99.2,0.447,0.01
rf,0.527,0.172,0.576,0.598,0.146,74.3,75.2,82.8,0.281,5.835
Oracle,0.908,0.176,1.0,,,,,,,
Selector,0.57,0.128,0.878,0.57,0.128,,88.6,49.2,,
