Row,z_1,z_2
0,-0.3529914754189623,-2.0947022321337587
1,-0.5881086693072909,-2.1392946821403687
2,-0.9215111171195248,-1.9921996012747967
3,-0.6616871062816171,-1.6745847806600869
4,-0.529736704670493,-1.7708913066936018
5,,
6,-0.19670767851826265,-1.7274091711408697
7,-0.524985420226438,-1.4100495243827516
8,0.6263194889986469,-1.211545782252683
9,,
10,-0.7141370988631173,-1.2743324464874777
11,-1.0480593263072895,-0.981922154654954
12,-1.0779884064751042,-0.2594629969909711
13,0.6263194889986469,-1.211545782252683
14,,
15,1.4622498103588135,-0.5659726995952177
16,1.3874951273288227,-0.637187305772983
17,1.4675186022851423,-0.3800711386904467
18,,
19,1.2823664792857736,0.25724913860662574
20,1.4261378762678922,-0.14776242151573743
21,1.4675186022851423,-0.3800711386904467
22,1.3435844708149258,-0.6781346341637421
23,1.1368207089872246,-0.8734224515842979
24,1.0571502109032558,-0.9261910897645621
25,0.6408913622325092,-1.162850644841478
26,0.65172510544121,-1.1947187281480227
27,0.6263194889986469,-1.211545782252683
28,-0.9083457716022302,0.1524538589480843
29,-0.5443269549166828,0.4959158170726322
30,-0.42386847945904826,0.6395507482334774
31,0.22287227513968577,0.8943798799734727
32,0.6024047173642474,1.0656464250781579
33,0.8054024478871002,1.0466009228471949
34,1.1632494592117995,0.7034666712879545
35,,
36,-0.6991594865534755,1.0366828794759662
37,-0.8076019544027284,0.8466567147593432
38,-0.9339535729233839,0.8582762248597825
